Source,Target,Weight
Tonga,Netherlands,7
Ghana,Northern Mariana Islands,8
Mauritius,Fiji,5
Malta,Papua New Guinea,7
Philippines,Cyprus,1
Faroe Islands,Guinea-Bissau,1
Solomon Islands,Turkey,5
Russian Federation,Guinea,9
Norfolk Island,Congo,1
Kiribati,Rwanda,9
Mexico,Reunion,5
Zimbabwe,Egypt,7
Ghana,Sierra Leone,7
Argentina,Guinea,9
Marshall Islands,Faroe Islands,10
Ethiopia,Armenia,6
Tuvalu,Chile,2
Kyrgyzstan,Lesotho,9
Zambia,Egypt,7
Tunisia,Turkmenistan,2
Sweden,Chile,4
Denmark,Colombia,7
Bolivia,Congo (Democratic Republic of the),3
Nauru,Trinidad and Tobago,10
Luxembourg,C̫te d'Ivoire,4
Martinique,El Salvador,5
Dominican Republic,Cook Islands,10
Switzerland,Italy,2
Argentina,Samoa,6
Korea,Lao People's Democratic Republic,2
Pitcairn,El Salvador,2
Puerto Rico,Pitcairn,2
Italy,Nepal,5
Algeria,Bahrain,1
Ukraine,Peru,1
Peru,Portugal,3
Zambia,Micronesia (Federated States of),2
Colombia,Western Sahara,3
Sierra Leone,Lao People's Democratic Republic,8
Slovakia,Turks and Caicos Islands,10
Pitcairn,Nauru,9
Montserrat,Solomon Islands,9
Ethiopia,Albania,9
Northern Mariana Islands,Wallis and Futuna,5
United Arab Emirates,Equatorial Guinea,5
Gambia,Cyprus,5
Belarus,Central African Republic,2
Thailand,Chad,3
Brazil,Ireland,4
Sri Lanka,Cyprus,6
Bolivia,Reunion,4
Belgium and Luxembourg,Serbia and Montenegro,5
French Southern Antartic territories,Bahrain,8
Wallis and Futuna,China,6
French Polynesia,Nepal,2
Guyana,Colombia,3
Sri Lanka,Jamaica,2
India,El Salvador,6
Namibia,Falkland Islands,8
Honduras,Aruba,1
Czech Republic,Iran,7
Albania,Ethiopia,8
Lesotho,Hong Kong,8
Marshall Islands,United States of America,10
Bahrain,Turkmenistan,2
Algeria,El Salvador,6
Kazakstan,Nigeria,7
Bosnia and Herzegovina,Slovakia,1
St. Pierre and Miquelon,Korea,10
Solomon Islands,Burma,5
Romania,Israel,4
Australia,Tuvalu,4
Ecuador,Burkina Faso,4
Aruba,New Caledonia,1
Montserrat,St. Pierre and Miquelon,10
Georgia,Australia,3
Hungary,Niger,8
India,Guinea-Bissau,3
Turkey,Poland,3
Turkmenistan,Mauritania,4
Niger,Latvia,6
Palestine,Armenia,6
Iran,Zimbabwe,3
Wallis and Futuna,Dominica,2
Tokelau,Nepal,3
China,Taiwan,1
Solomon Islands,Nepal,3
Peru,Senegal,6
Faroe Islands,Taiwan,6
Palau,Fiji,7
Argentina,Paraguay,1
Madagascar,Congo,1
Faroe Islands,Saint Vincent and the Grenadines,10
Nicaragua,Armenia,9
Guyana,Togo,4
Mongolia,Norway,7
Micronesia (Federated States of),French Southern Antartic territories,6
Guinea,Namibia,4
Philippines,St. Pierre and Miquelon,10
Namibia,Algeria,5
